,title,seasons,start_year,imdb_rating,viewer_maturity,genre,content_advisory,network,episodes,avg_episode_runtime
0,TANDAV,1,2021,3.9,Adults,['DRAMA'],"['foul language', 'drug use', 'sexual content', 'violence']",AMAZON STUDIOS,10,35.5
0,YOUNG SHELDON,4,2018,-1.0,Teens,['COMEDY'],"['moderate drug use', 'mild foul language', 'moderate sexuality', 'nudity', 'violence']",WB,71,19.47887323943662
0,THE WILDS,1,2020,7.2,Young Adults,"['YOUNG ADULT AUDIENCE', 'DRAMA']","['violence', 'sexual content', 'drug use', 'foul language']",AMAZON STUDIOS,10,52.2
0,THE BOYS,2,2019,8.7,Adults,"['ACTION', 'COMEDY']","['moderate drug use', 'strong foul language', 'severe sexuality', 'severe nudity', 'strong violence']",AMAZON STUDIOS,21,53.38095238095238
0,MIRZAPUR,2,2018,8.4,Adults,"['DRAMA', 'ACTION', 'SUSPENSE']","['strong foul language', 'drug use', 'strong sexuality', 'strong violence']",AMAZON STUDIOS,21,49.666666666666664
0,BANDISH BANDITS,1,2020,8.6,Young Adults,"['ROMANCE', 'DRAMA']","['foul language', 'drug use', 'sexual content', 'violence']",AMAZON STUDIOS,10,41.8
0,BREATHE: INTO THE SHADOWS,1,2020,7.6,Young Adults,"['DRAMA', 'SUSPENSE']","['foul language', 'drug use', 'sexual content', 'violence']",AMAZON STUDIOS,12,45.833333333333336
0,RASBHARI,1,2020,2.8,Adults,"['COMEDY', 'DRAMA']","['foul language', 'drug use', 'sexual content', 'violence']",APPLAUSE,8,25.375
0,SONS OF THE SOIL : JAIPUR PINK PANTHERS,1,2020,7.5,Young Adults,"['DRAMA', 'SPORTS', 'DOCUMENTARY']","['foul language', 'sexual content', 'violence']",AMAZON STUDIOS,5,30.2
0,FOUR MORE SHOTS PLEASE!,2,2019,6.8,Adults,"['DRAMA', 'COMEDY', 'INTERNATIONAL']","['moderate drug use', 'foul language', 'strong sexuality', 'violence']",AMAZON STUDIOS,21,33.904761904761905
0,THE TEST: A NEW ERA FOR AUSTRALIA'S TEAM,1,2020,8.9,Young Adults,['DOCUMENTARY'],"['drug use', 'foul language', 'violence']",NA,8,52.625
0,PANCHAYAT,1,2020,8.7,Young Adults,"['INTERNATIONAL', 'DRAMA', 'COMEDY']","['foul language', 'drug use', 'sexual content', 'violence']",THE VIRAL FEVER,8,30.625
0,THE EXPANSE,5,2019,8.5,Young Adults,"['ACTION', 'SCIENCE FICTION']","['moderate foul language', 'moderate drug use', 'mild sexuality', 'nudity', 'moderate violence']",AMAZON STUDIOS,55,43.872727272727275
0,ZEROZEROZERO,1,2020,8.2,Adults,"['SUSPENSE', 'DRAMA']","['foul language', 'drug use', 'sexual content', 'nudity', 'violence']",NA,8,54.75
0,THE FAMILY MAN,2,2019,8.6,Adults,"['ACTION', 'DRAMA']","['strong foul language', 'strong drug use', 'sexual content', 'moderate violence']",AMAZON STUDIOS,11,45.90909090909091
0,THE FORGOTTEN ARMY - AZAADI KE LIYE,1,2020,8.0,Adults,"['ACTION', 'DRAMA']","['strong foul language', 'moderate sexuality', 'strong violence']",AMAZON STUDIOS,6,39.0
0,BREATHE,1,2018,8.3,Young Adults,"['INTERNATIONAL', 'SUSPENSE', 'DRAMA']","['moderate drug use', 'strong foul language', 'strong sexuality', 'strong violence']",AMAZON STUDIOS,9,38.111111111111114
0,COMICSTAAN,2,2018,6.8,Adults,"['ARTS, ENTERTAINMENT, AND CULTURE']","['foul language', 'drug use', 'sexual content', 'nudity', 'violence']",AMAZON STUDIOS,19,59.31578947368421
0,HOSTEL DAZE,1,2019,8.6,Adults,"['COMEDY', 'DRAMA', 'INTERNATIONAL']","['severe foul language', 'moderate drug use', 'mild sexuality', 'violence']",THE VIRAL FEVER,5,31.8
